"instance";"dataset";"ts";"model";"preprocess";"augment";"window_size";"test_size";"strategy";"true";"pred";"mse";"smape";"r2"
"knn";"gdp";"germany";"knn";"diff";"none";6;5;"sa";4394652,127879;4505487,14970975;45294811084,9185;4,76179582045842;-0,0858093327815717
"arima";"gdp";"india";"arima";"none";"none";0;1;"ro";2854814,212131;2865185,99449447;107573869,395249;0,362649719888448;-Inf
"arima";"gdp";"india";"arima";"none";"none";0;2;"ro";2676119,157953;3096099,42163094;88245497874,1939;7,45721467401659;-10,0542042289625
"arima";"gdp";"india";"arima";"none";"none";0;3;"ro";3175276,377979;2597633,22636352;170054202118,883;11,6422102872801;-2,98786930099801
"arima";"gdp";"india";"arima";"none";"none";0;4;"ro";3465541,446546;3323596,50030651;132577743529,895;9,77704040874661;-0,448724363717224
"arima";"gdp";"india";"arima";"none";"none";0;5;"ro";3695362,770027;3515581,95502139;112526423112,732;8,81889868729048;0,203725290822348
"arima";"gdp";"india";"arima";"none";"none";0;1;"sa";2854814,212131;2865185,99449447;107573869,395249;0,362649719888448;-Inf
"arima";"gdp";"india";"arima";"none";"none";0;2;"sa";2676119,157953;3111328,03082664;94757168448,6692;7,70120121782091;-10,8698983792136
"arima";"gdp";"india";"arima";"none";"none";0;3;"sa";3175276,377979;3316912,76556337;69858401061,7631;6,58856278710747;-0,638219870722488
"arima";"gdp";"india";"arima";"none";"none";0;4;"sa";3465541,446546;3446312,30670347;52486240751,0933;5,08052471409123;0,426464097883135
"arima";"gdp";"india";"arima";"none";"none";0;5;"sa";3695362,770027;3636465,14827188;42682778570,5564;4,38574548928729;0,697962343838882
"knn";"gdp";"india";"knn";"diff";"none";6;1;"ro";2854814,212131;2900323,66637725;2071110425,79148;1,58152437724205;-Inf
"knn";"gdp";"india";"knn";"diff";"none";6;2;"ro";2676119,157953;3025040,25532125;61908521307,2277;6,91094006955946;-6,75506348231843
"knn";"gdp";"india";"knn";"diff";"none";6;3;"ro";3175276,377979;2763084,02449225;97906526295,8004;9,23474748656961;-1,29596461432589
"knn";"gdp";"india";"knn";"diff";"none";6;4;"ro";3465541,446546;3341056,41694712;77304025370,4085;7,8405044537982;0,155271299799487
"knn";"gdp";"india";"knn";"diff";"none";6;5;"ro";3695362,770027;3576011,50782875;64692165053,9899;6,9289576483466;0,542216543550562
"knn";"gdp";"india";"knn";"diff";"none";6;1;"sa";2854814,212131;2900323,66637725;2071110425,79148;1,58152437724205;-Inf
"knn";"gdp";"india";"knn";"diff";"none";6;2;"sa";2676119,157953;3070549,7095675;78823285236,355;7,65440024933782;-8,87391667552978
"knn";"gdp";"india";"knn";"diff";"none";6;3;"sa";3175276,377979;3233227,7267105;53668309764,17;5,70579232365441;-0,258552874779095
"knn";"gdp";"india";"knn";"diff";"none";6;4;"sa";3465541,446546;3416033,51234725;40863991210,2844;4,63905793106422;0,553464570380802
"knn";"gdp";"india";"knn";"diff";"none";6;5;"sa";3695362,770027;3598839,297984;34554549099,2747;4,24056248467321;0,755480421631952
"arima";"gdp";"italy";"arima";"none";"none";0;1;"ro";2011302,198827;2133151,84373107;14847335963,249;5,88013010412659;-Inf
"arima";"gdp";"italy";"arima";"none";"none";0;2;"ro";1897461,635592;2050034,8888439;19062966785,5584;6,80512870208642;-4,88377980012417
"arima";"gdp";"italy";"arima";"none";"none";0;3;"ro";2155360,298998;1933142,86054386;29168841174,7454;8,16020469955906;-1,61932499561131
"arima";"gdp";"italy";"arima";"none";"none";0;4;"ro";2046952,679267;2195398,72862543;27385688273,5906;7,86972628616029;-2,23147186422233
"arima";"gdp";"italy";"arima";"none";"none";0;5;"ro";2250534,1904;2084136,377176;27446197068,0183;7,83128699765104;-0,864599325157205
"arima";"gdp";"italy";"arima";"none";"none";0;1;"sa";2011302,198827;2133151,84373107;14847335963,249;5,88013010412659;-Inf
"arima";"gdp";"italy";"arima";"none";"none";0;2;"sa";1897461,635592;2174371,26119515;45763138357,4626;9,74067874673733;-13,1247808951706
"arima";"gdp";"italy";"arima";"none";"none";0;3;"sa";2155360,298998;2215590,67865922;31717991783,0202;7,41243229152959;-1,84823549177503
"arima";"gdp";"italy";"arima";"none";"none";0;4;"sa";2046952,679267;2256810,0961233;34798527689,6647;7,9973932736646;-3,10617626338627
"arima";"gdp";"italy";"arima";"none";"none";0;5;"sa";2250534,1904;2298029,51358737;28289983296,6664;6,81558776833256;-0,921923231584569
"knn";"gdp";"italy";"knn";"diff";"none";6;1;"ro";2011302,198827;2190013,6681906;31937789282,0969;8,50740458562389;-Inf
"knn";"gdp";"italy";"knn";"diff";"none";6;2;"ro";1897461,635592;2049272,9656307;27492234605,108;8,10020694482652;-7,48547114672376
"knn";"gdp";"italy";"knn";"diff";"none";6;3;"ro";2155360,298998;1939941,5963138;33796562225,4532;8,90689942128106;-2,03488848502858
"knn";"gdp";"italy";"knn";"diff";"none";6;4;"ro";2046952,679267;2244356,0415089;35089443525,1916;8,98021139722154;-3,14050391394485
"knn";"gdp";"italy";"knn";"diff";"none";6;5;"ro";2250534,1904;2088540,233559;33319963230,7541;8,67751945946781;-1,26364260230143
"knn";"gdp";"italy";"knn";"diff";"none";6;1;"sa";2011302,198827;2190013,6681906;31937789282,0969;8,50740458562389;-Inf
"knn";"gdp";"italy";"knn";"diff";"none";6;2;"sa";1897461,635592;2226723,8081783;70175683789,1736;12,237392092301;-20,6597067698529
"knn";"gdp";"italy";"knn";"diff";"none";6;3;"sa";2155360,298998;2242145,5013312;49294346307,4539;9,47393451009401;-3,42656986789126
"knn";"gdp";"italy";"knn";"diff";"none";6;4;"sa";2046952,679267;2281590,2038707;50734451718,6284;9,81580319902503;-4,98659239956356
